"[[6 0 2 4]
 [5 1 0 6]]","[4, 21]","[6, 21]","[6, 21]","[8, 21]",0.00501,0.14267,0.00706,0.01169
"[[5 1 3 3]
 [5 1 2 4]]","[-4, 17]","[-2, 17]","[-2, 17]","[-2, 16]",0.00418,0.25384,0.00753,0.00758
"[[5 1 1 5]
 [6 0 3 3]]","[0, 19]","[2, 19]","[-1, 19]","[5, 18]",0.00403,0.21361,0.00703,0.01757
"[[3 3 1 5]
 [4 2 2 4]]","[-6, 16]","[-4, 16]","[-5, 16]","[-2, 14]",0.00301,0.29017,0.00657,0.00852
"[[6 0 3 3]
 [6 0 1 5]]","[2, 20]","[5, 20]","[2, 20]","[7, 20]",0.00404,0.19084,0.00654,0.02014
"[[4 2 0 6]
 [5 1 3 3]]","[-2, 18]","[0, 18]","[0, 18]","[2, 17]",0.00401,0.24731,0.00752,0.01309
"[[5 1 1 5]
 [4 2 0 6]]","[2, 20]","[4, 20]","[2, 20]","[6, 20]",0.00419,0.17997,0.00653,0.01052
"[[4 2 1 5]
 [4 2 1 5]]","[-2, 18]","[0, 18]","[-2, 18]","[2, 17]",0.00352,0.28182,0.00602,0.00954
"[[3 3 0 6]
 [5 1 1 5]]","[0, 19]","[2, 19]","[1, 19]","[4, 18]",0.00351,0.23752,0.00604,0.01354
"[[4 2 0 6]
 [6 0 1 5]]","[4, 21]","[6, 21]","[5, 21]","[9, 21]",0.00401,0.14126,0.00702,0.0157
"[[4 2 0 6]
 [6 0 1 5]]","[4, 21]","[6, 21]","[5, 21]","[9, 21]",0.00406,0.13819,0.00602,0.01554
"[[5 1 1 5]
 [5 1 2 4]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00451,0.21969,0.00752,0.00955
"[[5 1 1 5]
 [4 2 0 6]]","[2, 20]","[4, 20]","[3, 20]","[6, 20]",0.00451,0.17922,0.00602,0.01153
"[[5 1 1 5]
 [5 1 1 5]]","[2, 20]","[4, 20]","[2, 20]","[6, 20]",0.00501,0.18243,0.00752,0.00899
"[[5 1 1 5]
 [5 1 4 2]]","[-4, 17]","[-2, 17]","[-2, 17]","[0, 16]",0.00351,0.24177,0.00752,0.00753
"[[4 2 1 5]
 [4 2 1 5]]","[-2, 18]","[0, 18]","[-1, 18]","[0, 18]",0.00452,0.28036,0.00959,0.00852
"[[4 2 2 4]
 [6 0 4 2]]","[-5, 16]","[-3, 15]","[-4, 15]","[-2, 14]",0.00354,0.35977,0.00701,0.00752
"[[5 1 1 5]
 [5 1 0 6]]","[4, 21]","[6, 21]","[6, 21]","[10, 21]",0.00454,0.14388,0.00555,0.01256
"[[5 1 1 5]
 [5 1 1 5]]","[2, 20]","[4, 20]","[4, 20]","[6, 20]",0.00453,0.1795,0.01058,0.01167
"[[5 1 1 5]
 [5 1 2 4]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00501,0.21116,0.00756,0.01054
"[[6 0 2 4]
 [4 2 1 5]]","[0, 19]","[2, 19]","[0, 19]","[4, 18]",0.00342,0.21439,0.00854,0.00952
"[[4 2 1 5]
 [6 0 2 4]]","[0, 19]","[2, 19]","[0, 19]","[3, 18]",0.00301,0.21884,0.00757,0.01356
"[[5 1 2 4]
 [5 1 2 4]]","[-2, 18]","[0, 18]","[-1, 18]","[0, 17]",0.00401,0.25107,0.00703,0.00651
"[[6 0 2 4]
 [5 1 2 4]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00401,0.21653,0.00712,0.00902
"[[6 0 1 5]
 [5 1 0 6]]","[6, 22]","[8, 22]","[7, 22]","[13, 22]",0.00453,0.10812,0.00601,0.01455
"[[4 2 1 5]
 [5 1 2 4]]","[-2, 18]","[0, 18]","[-1, 18]","[2, 17]",0.004,0.24761,0.00705,0.01272
