"[[5 1 0 6]
 [4 2 1 5]]","[2, 20]","[4, 20]","[3, 20]","[7, 20]",0.00501,0.17763,0.00754,0.01605
"[[4 2 0 6]
 [5 1 0 6]]","[4, 21]","[7, 21]","[5, 21]","[10, 21]",0.00452,0.13494,0.00802,0.01273
"[[5 1 2 4]
 [5 1 0 6]]","[2, 20]","[4, 20]","[4, 20]","[7, 20]",0.004,0.16517,0.00739,0.01607
"[[2 4 0 6]
 [3 3 0 6]]","[-2, 17]","[0, 16]","[-2, 17]","[0, 15]",0.00357,0.1802,0.00753,0.00754
"[[4 2 0 6]
 [4 2 0 6]]","[2, 20]","[5, 20]","[2, 20]","[7, 20]",0.00401,0.17745,0.00654,0.01512
"[[3 3 0 6]
 [3 3 0 6]]","[-1, 18]","[2, 17]","[-2, 18]","[4, 17]",0.00351,0.23774,0.00744,0.00954
"[[3 3 0 6]
 [2 4 0 6]]","[-2, 17]","[0, 16]","[-2, 16]","[0, 15]",0.00322,0.17516,0.0077,0.00757
"[[3 3 0 6]
 [3 3 0 6]]","[-1, 18]","[2, 17]","[-1, 18]","[3, 17]",0.00352,0.23965,0.00641,0.01393
"[[4 2 1 5]
 [4 2 0 6]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00301,0.21357,0.00848,0.01014
"[[4 2 1 5]
 [6 0 2 4]]","[0, 19]","[2, 19]","[0, 19]","[3, 19]",0.00403,0.19906,0.00691,0.01364
"[[4 2 1 5]
 [3 3 0 6]]","[-2, 18]","[0, 18]","[-1, 18]","[2, 17]",0.00304,0.2069,0.00652,0.00802
"[[3 3 0 6]
 [4 2 0 6]]","[0, 19]","[3, 19]","[0, 19]","[5, 18]",0.00337,0.17312,0.00655,0.015
"[[2 4 0 6]
 [3 3 0 6]]","[-2, 17]","[0, 16]","[-3, 17]","[1, 16]",0.00352,0.17359,0.00777,0.00893
"[[3 3 0 6]
 [4 2 1 5]]","[-2, 18]","[0, 18]","[-1, 18]","[2, 17]",0.00401,0.20817,0.00752,0.00727
"[[4 2 0 6]
 [4 2 1 5]]","[0, 19]","[2, 19]","[1, 19]","[5, 19]",0.00419,0.20859,0.00691,0.01501
"[[3 3 0 6]
 [3 3 0 6]]","[-1, 18]","[2, 17]","[-1, 18]","[2, 17]",0.00315,0.25095,0.00654,0.01052
"[[3 3 0 6]
 [4 2 0 6]]","[0, 19]","[3, 19]","[0, 19]","[4, 18]",0.00401,0.1775,0.00653,0.00852
"[[4 2 0 6]
 [4 2 0 6]]","[2, 20]","[5, 20]","[3, 20]","[8, 20]",0.00401,0.17759,0.00752,0.01054
"[[3 3 0 6]
 [4 2 0 6]]","[0, 19]","[3, 19]","[0, 19]","[4, 18]",0.00401,0.1801,0.00607,0.00953
"[[3 3 1 5]
 [3 3 0 6]]","[-3, 17]","[-1, 16]","[-3, 17]","[0, 15]",0.00401,0.27816,0.00651,0.00752
"[[5 1 1 5]
 [4 2 1 5]]","[0, 19]","[2, 19]","[-1, 19]","[4, 19]",0.00401,0.20435,0.00652,0.00952
"[[2 4 0 6]
 [4 2 1 5]]","[-3, 17]","[-1, 16]","[-3, 17]","[2, 16]",0.00352,0.27718,0.00652,0.00852
"[[4 2 1 5]
 [4 2 0 6]]","[0, 19]","[2, 19]","[-1, 19]","[5, 19]",0.00401,0.21332,0.00653,0.01642
"[[4 2 0 6]
 [5 1 0 6]]","[4, 21]","[7, 21]","[6, 21]","[10, 21]",0.00401,0.13547,0.00602,0.01153
"[[3 3 0 6]
 [4 2 1 5]]","[-2, 18]","[0, 18]","[-1, 18]","[3, 17]",0.00304,0.24468,0.00775,0.01781
"[[4 2 1 5]
 [4 2 1 5]]","[-2, 18]","[0, 18]","[-1, 18]","[2, 18]",0.00432,0.25475,0.00702,0.00829
"[[4 2 0 6]
 [3 3 0 6]]","[0, 19]","[3, 19]","[0, 19]","[5, 18]",0.00352,0.18062,0.00822,0.01488
"[[4 2 1 5]
 [5 1 0 6]]","[2, 20]","[4, 20]","[2, 20]","[6, 20]",0.00451,0.17459,0.00652,0.01073
"[[3 3 0 6]
 [4 2 0 6]]","[0, 19]","[3, 19]","[0, 19]","[6, 18]",0.00301,0.17867,0.00752,0.00953
"[[5 1 1 5]
 [4 2 0 6]]","[2, 20]","[4, 20]","[3, 20]","[5, 20]",0.004,0.17457,0.00702,0.01505
"[[5 1 0 6]
 [2 4 0 6]]","[0, 19]","[3, 19]","[2, 19]","[5, 18]",0.00401,0.17242,0.00652,0.01354
"[[3 3 0 6]
 [3 3 0 6]]","[-1, 18]","[2, 17]","[-1, 18]","[0, 17]",0.003,0.24703,0.00652,0.00595
"[[4 2 1 5]
 [3 3 0 6]]","[-2, 18]","[0, 18]","[-1, 18]","[0, 17]",0.00301,0.20914,0.00647,0.00759
"[[4 2 0 6]
 [5 1 1 5]]","[2, 20]","[4, 20]","[2, 20]","[8, 20]",0.00415,0.1707,0.00552,0.01155
"[[4 2 0 6]
 [4 2 1 5]]","[0, 19]","[2, 19]","[0, 19]","[3, 19]",0.00401,0.21832,0.00654,0.01353
"[[6 0 1 5]
 [3 3 0 6]]","[2, 20]","[4, 20]","[2, 20]","[7, 20]",0.00401,0.16863,0.00651,0.01355
"[[3 3 1 5]
 [3 3 0 6]]","[-3, 17]","[-1, 16]","[-2, 17]","[0, 16]",0.00351,0.28693,0.00657,0.00773
"[[4 2 1 5]
 [4 2 0 6]]","[0, 19]","[2, 19]","[-1, 19]","[5, 18]",0.0041,0.20928,0.00574,0.0165
"[[3 3 0 6]
 [5 1 1 5]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00451,0.20814,0.00616,0.00993
"[[4 2 0 6]
 [5 1 0 6]]","[4, 21]","[7, 21]","[4, 21]","[10, 21]",0.00352,0.14445,0.00576,0.01219
"[[3 3 0 6]
 [4 2 0 6]]","[0, 19]","[3, 19]","[1, 19]","[5, 19]",0.004,0.17612,0.00654,0.01376
"[[3 3 0 6]
 [4 2 1 5]]","[-2, 18]","[0, 18]","[-2, 18]","[2, 17]",0.00351,0.21813,0.00623,0.01287
"[[5 1 0 6]
 [3 3 0 6]]","[2, 20]","[5, 20]","[5, 20]","[7, 19]",0.00458,0.17165,0.0076,0.01333
"[[3 3 0 6]
 [5 1 1 5]]","[0, 19]","[2, 19]","[-1, 19]","[5, 18]",0.00401,0.21768,0.00757,0.01605
"[[3 3 0 6]
 [6 0 1 5]]","[2, 20]","[4, 20]","[3, 20]","[7, 20]",0.00435,0.17226,0.00653,0.01454
"[[4 2 0 6]
 [3 3 0 6]]","[0, 19]","[3, 19]","[0, 19]","[4, 18]",0.00452,0.18916,0.00601,0.00969
"[[4 2 1 5]
 [3 3 0 6]]","[-2, 18]","[0, 18]","[-2, 18]","[3, 17]",0.00351,0.21374,0.00703,0.01554
"[[4 2 0 6]
 [5 1 1 5]]","[2, 20]","[4, 20]","[0, 20]","[6, 20]",0.00451,0.17376,0.00651,0.00955
"[[3 3 1 5]
 [4 2 0 6]]","[-2, 18]","[0, 18]","[-2, 18]","[2, 17]",0.00401,0.21061,0.00689,0.01162
"[[3 3 1 5]
 [4 2 0 6]]","[-2, 18]","[0, 18]","[-1, 18]","[4, 17]",0.00351,0.21233,0.00618,0.00952
"[[4 2 0 6]
 [3 3 0 6]]","[0, 19]","[3, 19]","[2, 19]","[4, 18]",0.00353,0.18114,0.00754,0.00902
"[[4 2 0 6]
 [3 3 0 6]]","[0, 19]","[3, 19]","[1, 19]","[5, 18]",0.003,0.17703,0.00701,0.01404
"[[5 1 0 6]
 [6 0 2 4]]","[4, 21]","[6, 21]","[3, 21]","[9, 21]",0.00401,0.13454,0.00651,0.01506
"[[5 1 1 5]
 [6 0 1 5]]","[4, 21]","[6, 21]","[6, 21]","[10, 21]",0.00501,0.13589,0.00752,0.01353
"[[2 4 1 5]
 [3 3 0 6]]","[-4, 16]","[-3, 15]","[-4, 16]","[-1, 14]",0.00401,0.2148,0.00752,0.01155
"[[4 2 1 5]
 [5 1 0 6]]","[2, 20]","[4, 20]","[2, 20]","[6, 20]",0.00401,0.1811,0.00864,0.01052
"[[3 3 0 6]
 [3 3 0 6]]","[-1, 18]","[2, 17]","[-1, 18]","[3, 17]",0.00351,0.24331,0.00652,0.01454
"[[3 3 0 6]
 [4 2 0 6]]","[0, 19]","[3, 19]","[1, 19]","[6, 18]",0.00301,0.18004,0.00653,0.01072
"[[3 3 0 6]
 [2 4 0 6]]","[-2, 17]","[0, 16]","[-2, 16]","[2, 15]",0.00388,0.17895,0.00751,0.00852
"[[3 3 0 6]
 [4 2 0 6]]","[0, 19]","[3, 19]","[0, 19]","[5, 18]",0.00301,0.17809,0.00718,0.0145
"[[4 2 0 6]
 [4 2 0 6]]","[2, 20]","[5, 20]","[2, 20]","[6, 20]",0.00402,0.19015,0.00531,0.01059
"[[2 4 0 6]
 [3 3 0 6]]","[-2, 17]","[0, 16]","[-2, 16]","[2, 15]",0.00327,0.17875,0.00701,0.00852
"[[3 3 0 6]
 [4 2 0 6]]","[0, 19]","[3, 19]","[0, 19]","[4, 18]",0.00351,0.18232,0.00653,0.00902
"[[5 1 0 6]
 [4 2 0 6]]","[4, 21]","[7, 21]","[4, 21]","[10, 21]",0.004,0.14245,0.00752,0.01154
"[[4 2 2 4]
 [5 1 1 5]]","[-2, 18]","[0, 18]","[0, 18]","[2, 17]",0.00351,0.25036,0.00645,0.00865
"[[4 2 0 6]
 [3 3 0 6]]","[0, 19]","[3, 19]","[0, 19]","[5, 18]",0.00417,0.1848,0.00652,0.01454
"[[3 3 0 6]
 [3 3 0 6]]","[-1, 18]","[2, 17]","[-1, 18]","[2, 17]",0.00401,0.243,0.00752,0.01153
"[[4 2 0 6]
 [5 1 1 5]]","[2, 20]","[4, 20]","[0, 20]","[6, 20]",0.00401,0.1791,0.00552,0.01454
"[[3 3 0 6]
 [3 3 1 5]]","[-3, 17]","[-1, 16]","[-3, 17]","[0, 16]",0.00401,0.29083,0.00666,0.00766
"[[4 2 1 5]
 [4 2 0 6]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00409,0.21559,0.00603,0.00914
"[[4 2 0 6]
 [5 1 0 6]]","[4, 21]","[7, 21]","[5, 21]","[10, 21]",0.00418,0.13721,0.00702,0.01204
"[[3 3 1 5]
 [4 2 0 6]]","[-2, 18]","[0, 18]","[-1, 18]","[0, 17]",0.003,0.20866,0.00659,0.00843
"[[5 1 0 6]
 [2 4 0 6]]","[0, 19]","[3, 19]","[2, 19]","[6, 18]",0.00353,0.16991,0.00802,0.01003
"[[4 2 1 5]
 [3 3 0 6]]","[-2, 18]","[0, 18]","[-1, 18]","[2, 17]",0.00406,0.21526,0.00653,0.00854
"[[3 3 0 6]
 [5 1 0 6]]","[2, 20]","[5, 20]","[2, 20]","[4, 20]",0.00401,0.18329,0.00702,0.01154
"[[4 2 0 6]
 [4 2 0 6]]","[2, 20]","[5, 20]","[3, 20]","[9, 20]",0.00401,0.17611,0.00602,0.01478
"[[4 2 1 5]
 [3 3 0 6]]","[-2, 18]","[0, 18]","[-2, 18]","[2, 17]",0.00401,0.21357,0.00752,0.00753
"[[5 1 0 6]
 [3 3 0 6]]","[2, 20]","[5, 20]","[3, 20]","[7, 20]",0.00301,0.17601,0.00652,0.01356
"[[5 1 0 6]
 [3 3 1 5]]","[0, 19]","[2, 19]","[2, 19]","[4, 19]",0.00401,0.20905,0.00653,0.00852
"[[5 1 0 6]
 [4 2 0 6]]","[4, 21]","[7, 21]","[5, 21]","[10, 21]",0.00401,0.14152,0.00652,0.01154
"[[4 2 0 6]
 [4 2 0 6]]","[2, 20]","[5, 20]","[4, 20]","[7, 20]",0.00351,0.18114,0.00602,0.01554
"[[4 2 2 4]
 [4 2 1 5]]","[-4, 17]","[-2, 17]","[-3, 17]","[-1, 16]",0.00401,0.27668,0.00652,0.01192
"[[3 3 0 6]
 [3 3 0 6]]","[-1, 18]","[2, 17]","[0, 18]","[4, 17]",0.00301,0.2414,0.00705,0.00832
"[[4 2 1 5]
 [4 2 0 6]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00417,0.21566,0.00908,0.00859
"[[4 2 0 6]
 [4 2 1 5]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00455,0.21041,0.00653,0.00894
"[[3 3 0 6]
 [5 1 1 5]]","[0, 19]","[2, 19]","[0, 19]","[4, 18]",0.00345,0.23162,0.00755,0.01052
"[[3 3 0 6]
 [5 1 0 6]]","[2, 20]","[5, 20]","[4, 20]","[7, 20]",0.00553,0.18462,0.00681,0.01557
"[[2 4 0 6]
 [4 2 1 5]]","[-3, 17]","[-1, 16]","[-2, 17]","[0, 16]",0.00345,0.28454,0.00651,0.0077
"[[4 2 1 5]
 [4 2 0 6]]","[0, 19]","[2, 19]","[0, 19]","[4, 18]",0.00637,0.21341,0.00652,0.00801
"[[4 2 1 5]
 [3 3 0 6]]","[-2, 18]","[0, 18]","[-2, 18]","[2, 17]",0.00353,0.21192,0.00652,0.00702
"[[4 2 1 5]
 [4 2 0 6]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00333,0.21122,0.00653,0.0101
"[[4 2 0 6]
 [5 1 0 6]]","[4, 21]","[7, 21]","[3, 21]","[10, 21]",0.00408,0.1369,0.00601,0.01256
"[[4 2 0 6]
 [4 2 0 6]]","[2, 20]","[5, 20]","[3, 20]","[7, 20]",0.00401,0.17539,0.00707,0.01557
"[[3 3 0 6]
 [5 1 1 5]]","[0, 19]","[2, 19]","[2, 19]","[4, 18]",0.003,0.209,0.00654,0.00953
"[[4 2 0 6]
 [2 4 0 6]]","[-1, 18]","[2, 17]","[0, 18]","[4, 17]",0.00301,0.24292,0.00853,0.00907
"[[5 1 1 5]
 [5 1 0 6]]","[4, 21]","[6, 21]","[4, 21]","[10, 21]",0.00452,0.13542,0.00752,0.01256
"[[4 2 0 6]
 [5 1 1 5]]","[2, 20]","[4, 20]","[2, 20]","[6, 20]",0.00451,0.17352,0.00652,0.00956
"[[5 1 1 5]
 [3 3 0 6]]","[0, 19]","[2, 19]","[0, 19]","[4, 19]",0.00436,0.21584,0.00601,0.00853
"[[5 1 0 6]
 [3 3 0 6]]","[2, 20]","[5, 20]","[3, 20]","[8, 20]",0.00401,0.17636,0.00655,0.01152
"[[4 2 0 6]
 [3 3 1 5]]","[-2, 18]","[0, 18]","[-1, 18]","[2, 17]",0.00401,0.21289,0.00601,0.00752
"[[6 1 0 7]
 [4 3 0 7]]","[5, 24]","[9, 24]","[7, 24]","[10, 24]",0.00401,0.21855,0.00754,0.01504
"[[2 5 0 7]
 [4 3 2 5]]","[-6, 17]","[-3, 16]","[-4, 17]","[-1, 15]",0.00401,0.44979,0.00852,0.01607
"[[3 4 0 7]
 [6 1 0 7]]","[4, 23]","[7, 23]","[7, 23]","[9, 22]",0.00522,0.2852,0.01366,0.01933
"[[2 5 0 7]
 [3 4 0 7]]","[-2, 18]","[0, 16]","[-2, 18]","[1, 17]",0.00425,0.28585,0.01052,0.01456
