"[[5 0 1 4]
 [4 1 0 5]]","[2, 18]","[6, 18]","[3, 18]","[8, 18]"

"[[3 3 1 5]
 [5 1 1 5]]","[-2, 18]","[0, 18]","[-2, 18]","[0, 17]"

"[[6 1 1 6]
 [6 1 1 6]]","[4, 24]","[8, 24]","[4, 24]","[9, 24]"

"[[8 0 2 6]
 [5 3 0 8]]","[6, 27]","[8, 27]","[8, 27]","[11, 27]"

"[[9 0 3 6]
 [7 2 2 7]]","[5, 29]","[8, 29]","[6, 29]","[10, 28]"

"[[ 7  3  0 10]
 [ 9  1  4  6]]","[7, 32]","[10, 32]","[7, 32]","[11, 31]"

"[[10  1  5  6]
 [10  1  0 11]]","[13, 37]","[15, 37]","[14, 37]","[19, 35]"

"[[ 7  5  1 11]
 [ 9  3  2 10]]","[7, 37]","[10, 35]","[8, 35]","[11, 34]"

"[[11  2  4  9]
 [10  3  4  9]]","[6, 39]","[9, 38]","[9, 36]","[11, 35]"

"[[13  1  4 10]
 [11  3  4 10]]","[11, 44]","[15, 43]","[14, 42]","[15, 40]"

"[[13  2  5 10]
 [12  3  4 11]]","[11, 45]","[14, 44]","[12, 44]","[17, 42]"

"[[13  3  1 15]
 [12  4  3 13]]","[21, 53]","[25, 52]","[23, 51]","[28, 51]"

"[[11  6  4 13]
 [15  2  2 15]]","[18, 54]","[22, 53]","[19, 51]","[24, 50]"

"[[14  4  2 16]
 [14  4  3 15]]","[23, 59]","[27, 58]","[27, 57]","[32, 55]"

"[[15  4  7 12]
 [16  3  3 16]]","[18, 58]","[22, 56]","[18, 55]","[26, 53]"

"[[14  6  2 18]
 [14  6  3 17]]","[23, 61]","[27, 59]","[22, 59]","[27, 57]"

"[[4 1 1 4]
 [4 1 2 3]]","[-4, 15]","[-1, 15]","[-2, 15]","[0, 14]"

"[[5 0 2 3]
 [5 0 1 4]]","[0, 17]","[4, 17]","[0, 17]","[4, 17]"

"[[3 2 0 5]
 [2 3 0 5]]","[-2, 15]","[0, 15]","[-1, 15]","[0, 14]"

"[[5 0 2 3]
 [4 1 0 5]]","[0, 17]","[3, 17]","[0, 17]","[5, 17]"

"[[4 1 1 4]
 [3 2 0 5]]","[-2, 16]","[2, 16]","[0, 16]","[3, 16]"

"[[4 1 3 2]
 [5 0 1 4]]","[-3, 15]","[0, 15]","[-2, 15]","[0, 15]"

"[[4 1 0 5]
 [3 2 1 4]]","[-2, 16]","[2, 16]","[-1, 16]","[2, 16]"

"[[5 0 1 4]
 [3 2 1 4]]","[-2, 16]","[0, 16]","[-1, 16]","[3, 16]"

"[[5 0 2 3]
 [4 1 1 4]]","[-2, 16]","[2, 16]","[-1, 16]","[3, 16]"

"[[5 0 1 4]
 [5 0 2 3]]","[0, 17]","[4, 17]","[0, 17]","[6, 17]"

"[[5 0 1 4]
 [4 1 2 3]]","[-2, 16]","[2, 16]","[-1, 16]","[3, 16]"

"[[3 2 0 5]
 [4 1 2 3]]","[-4, 15]","[-1, 15]","[-3, 15]","[1, 15]"

"[[3 2 0 5]
 [4 1 0 5]]","[0, 17]","[4, 17]","[3, 17]","[5, 17]"

"[[5 0 2 3]
 [5 0 3 2]]","[-2, 15]","[0, 15]","[-1, 15]","[2, 14]"

"[[4 1 2 3]
 [5 0 1 4]]","[-2, 16]","[2, 16]","[-1, 16]","[3, 16]"

"[[5 0 2 3]
 [4 1 2 3]]","[-3, 15]","[0, 15]","[-2, 15]","[2, 15]"

"[[5 0 1 4]
 [3 2 2 3]]","[-4, 15]","[-1, 15]","[-2, 15]","[0, 14]"

"[[6 0 1 5]
 [2 4 2 4]]","[-4, 17]","[-2, 17]","[-1, 17]","[0, 16]"

"[[5 1 0 6]
 [5 1 2 4]]","[2, 20]","[4, 20]","[3, 20]","[7, 20]"

"[[5 1 1 5]
 [4 2 1 5]]","[0, 19]","[2, 19]","[0, 19]","[5, 19]"

"[[5 1 1 5]
 [6 0 1 5]]","[4, 21]","[6, 21]","[5, 21]","[8, 21]"

"[[5 1 2 4]
 [5 1 1 5]]","[0, 19]","[2, 19]","[0, 19]","[3, 19]"

"[[3 3 0 6]
 [5 1 1 5]]","[0, 19]","[2, 19]","[0, 19]","[4, 18]"

"[[6 0 3 3]
 [6 0 0 6]]","[4, 21]","[7, 21]","[8, 21]","[9, 21]"

"[[4 2 0 6]
 [5 1 3 3]]","[-2, 18]","[0, 18]","[-2, 18]","[1, 17]"

"[[6 0 2 4]
 [3 3 1 5]]","[-2, 18]","[0, 18]","[0, 18]","[3, 17]"

"[[5 1 0 6]
 [6 0 2 4]]","[4, 21]","[6, 21]","[4, 21]","[9, 21]"

"[[5 1 2 4]
 [5 1 1 5]]","[0, 19]","[2, 19]","[0, 19]","[5, 18]"

"[[5 1 0 6]
 [6 0 2 4]]","[4, 21]","[6, 21]","[6, 21]","[9, 21]"

"[[5 1 0 6]
 [4 2 3 3]]","[-2, 18]","[0, 18]","[0, 18]","[2, 17]"

"[[3 3 2 4]
 [5 1 0 6]]","[-2, 18]","[0, 18]","[0, 18]","[3, 17]"

"[[6 0 1 5]
 [5 1 1 5]]","[4, 21]","[6, 21]","[4, 21]","[8, 21]"

"[[5 1 2 4]
 [5 1 1 5]]","[0, 19]","[2, 19]","[-1, 19]","[4, 19]"

"[[4 2 2 4]
 [4 2 1 5]]","[-4, 17]","[-2, 17]","[-3, 17]","[-1, 16]"

"[[5 2 0 7]
 [5 2 2 5]]","[0, 22]","[4, 22]","[2, 22]","[4, 21]"

"[[6 1 1 6]
 [3 4 1 6]]","[-1, 21]","[2, 21]","[-1, 21]","[2, 20]"

"[[6 1 0 7]
 [6 1 3 4]]","[3, 23]","[6, 23]","[5, 23]","[8, 22]"

"[[4 3 2 5]
 [5 2 1 6]]","[-4, 20]","[0, 20]","[-3, 20]","[0, 18]"

"[[4 3 2 5]
 [7 0 1 6]]","[1, 22]","[4, 22]","[3, 22]","[4, 22]"

"[[5 2 1 6]
 [7 0 2 5]]","[2, 23]","[6, 23]","[3, 23]","[9, 22]"

"[[4 3 1 6]
 [6 1 3 4]]","[-4, 20]","[0, 20]","[-2, 20]","[0, 19]"

"[[6 1 0 7]
 [6 1 3 4]]","[3, 23]","[6, 23]","[5, 23]","[6, 23]"

"[[5 2 1 6]
 [7 0 3 4]]","[0, 22]","[4, 22]","[2, 22]","[5, 21]"

"[[6 1 1 6]
 [6 1 2 5]]","[2, 23]","[6, 23]","[4, 23]","[7, 23]"

"[[7 0 3 4]
 [6 1 2 5]]","[0, 22]","[4, 22]","[2, 22]","[7, 21]"

"[[5 2 2 5]
 [5 2 2 5]]","[-4, 20]","[0, 20]","[-3, 20]","[0, 19]"

"[[4 3 2 5]
 [6 1 1 6]]","[-2, 21]","[2, 21]","[-2, 21]","[2, 20]"

"[[6 1 3 4]
 [4 3 1 6]]","[-4, 20]","[0, 20]","[-2, 20]","[0, 18]"

"[[6 1 3 4]
 [6 1 1 6]]","[0, 22]","[4, 22]","[2, 22]","[6, 21]"

"[[7 0 1 6]
 [5 2 2 5]]","[2, 23]","[6, 23]","[5, 23]","[7, 23]"

"[[5 2 1 6]
 [5 2 0 7]]","[2, 23]","[6, 23]","[3, 23]","[9, 22]"

"[[8 0 2 6]
 [5 3 0 8]]","[6, 27]","[8, 27]","[5, 27]","[12, 27]"

"[[7 1 2 6]
 [5 3 0 8]]","[4, 26]","[6, 26]","[7, 26]","[10, 25]"

"[[7 1 2 6]
 [6 2 3 5]]","[0, 24]","[2, 24]","[2, 24]","[5, 22]"

"[[5 3 2 6]
 [7 1 1 7]]","[2, 25]","[4, 25]","[2, 25]","[6, 24]"

"[[6 2 0 8]
 [4 4 0 8]]","[5, 26]","[8, 25]","[6, 26]","[10, 25]"

"[[7 1 3 5]
 [7 1 0 8]]","[6, 27]","[8, 27]","[9, 27]","[11, 27]"

"[[6 2 0 8]
 [5 3 2 6]]","[2, 25]","[4, 25]","[3, 25]","[4, 24]"

"[[6 2 2 6]
 [7 1 2 6]]","[2, 25]","[4, 25]","[0, 25]","[6, 24]"

"[[7 1 0 8]
 [6 2 2 6]]","[6, 27]","[8, 27]","[7, 27]","[11, 26]"

"[[7 1 1 7]
 [6 2 1 7]]","[6, 27]","[8, 27]","[7, 27]","[10, 27]"

"[[7 1 2 6]
 [5 3 1 7]]","[2, 25]","[4, 25]","[2, 25]","[6, 24]"

"[[7 1 3 5]
 [5 3 2 6]]","[-2, 23]","[0, 23]","[0, 22]","[2, 21]"

"[[5 3 1 7]
 [8 0 2 6]]","[4, 26]","[6, 26]","[6, 26]","[7, 25]"

