"[[5 0 5 0]
 [5 0 0 5]]","[-2, 15]","[0, 15]","[1, 15]","[2, 14]"
"[[2 4 2 4]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[2, 18]","[3, 17]"
"[[4 3 4 3]
 [7 0 0 7]]","[0, 21]","[2, 21]","[0, 21]","[3, 20]"
"[[4 4 2 6]
 [8 0 0 8]]","[4, 26]","[6, 26]","[9, 26]","[9, 26]"
"[[4 5 3 6]
 [9 0 0 9]]","[4, 28]","[6, 28]","[8, 28]","[7, 27]"
"[[ 6  4  4  6]
 [10  0  0 10]]","[8, 32]","[10, 32]","[11, 31]","[12, 30]"
"[[ 5  6  3  8]
 [11  0  0 11]]","[9, 35]","[11, 34]","[12, 35]","[13, 33]"
"[[ 6  6  6  6]
 [12  0  0 12]]","[6, 36]","[8, 34]","[10, 34]","[9, 33]"
"[[ 9  4  6  7]
 [13  0  0 13]]","[14, 42]","[16, 41]","[17, 41]","[16, 40]"
"[[ 8  6  4 10]
 [14  0  0 14]]","[18, 46]","[19, 45]","[22, 45]","[23, 44]"
"[[ 5 10  5 10]
 [15  0  0 15]]","[12, 43]","[12, 42]","[17, 41]","[14, 41]"
"[[13  3  8  8]
 [16  0  0 16]]","[24, 52]","[25, 52]","[24, 52]","[27, 50]"
"[[ 8  9  6 11]
 [17  0  0 17]]","[19, 52]","[19, 51]","[22, 50]","[22, 48]"
"[[10  8  7 11]
 [18  0  0 18]]","[22, 56]","[23, 55]","[26, 55]","[27, 52]"
"[[14  5 12  7]
 [19  0  0 19]]","[23, 56]","[23, 55]","[25, 54]","[25, 53]"
"[[ 9 11  6 14]
 [20  0  0 20]]","[26, 61]","[27, 60]","[30, 59]","[28, 58]"
"[[3 2 3 2]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-1, 15]","[0, 15]"
"[[2 3 2 3]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-1, 15]","[0, 15]"
"[[3 2 3 2]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-1, 15]","[2, 15]"
"[[4 1 4 1]
 [5 0 0 5]]","[-3, 15]","[0, 15]","[0, 15]","[1, 14]"
"[[3 2 2 3]
 [5 0 0 5]]","[-2, 16]","[0, 16]","[-1, 16]","[3, 16]"
"[[4 1 3 2]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[3, 16]","[2, 16]"
"[[5 0 4 1]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[-1, 16]","[3, 15]"
"[[4 1 2 3]
 [5 0 0 5]]","[0, 17]","[3, 17]","[2, 17]","[4, 17]"
"[[4 1 4 1]
 [5 0 0 5]]","[-3, 15]","[0, 15]","[0, 15]","[2, 15]"
"[[2 3 2 3]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[0, 15]","[2, 15]"
"[[2 3 1 4]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[0, 16]","[3, 16]"
"[[2 3 1 4]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[0, 16]","[3, 16]"
"[[2 3 2 3]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-1, 15]","[0, 15]"
"[[1 4 2 3]
 [5 0 0 5]]","[-5, 14]","[-3, 14]","[0, 14]","[-3, 13]"
"[[2 3 3 2]
 [5 0 0 5]]","[-4, 14]","[-2, 14]","[-3, 14]","[-2, 14]"
"[[3 2 2 3]
 [5 0 0 5]]","[-2, 16]","[0, 16]","[0, 16]","[2, 16]"
"[[4 1 4 1]
 [5 0 0 5]]","[-3, 15]","[0, 15]","[-3, 15]","[2, 15]"
"[[2 3 1 4]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[0, 16]","[3, 16]"
"[[3 2 4 1]
 [5 0 0 5]]","[-5, 14]","[-3, 14]","[-3, 14]","[-1, 13]"
"[[2 3 0 5]
 [5 0 0 5]]","[1, 17]","[4, 17]","[3, 17]","[6, 17]"
"[[3 2 3 2]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-1, 15]","[0, 15]"
"[[3 2 4 1]
 [5 0 0 5]]","[-5, 14]","[-3, 14]","[-3, 14]","[-1, 14]"
"[[4 1 3 2]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[-2, 16]","[3, 16]"
"[[1 4 2 3]
 [5 0 0 5]]","[-5, 14]","[-3, 14]","[-3, 14]","[0, 13]"
"[[3 2 3 2]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[0, 15]","[0, 15]"
"[[2 3 1 4]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[0, 16]","[2, 16]"
"[[2 3 2 3]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[0, 15]","[1, 14]"
"[[2 3 2 3]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-1, 15]","[0, 15]"
"[[4 1 3 2]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[2, 16]","[3, 16]"
"[[4 1 2 3]
 [5 0 0 5]]","[0, 17]","[3, 17]","[2, 17]","[5, 17]"
"[[3 2 2 3]
 [5 0 0 5]]","[-2, 16]","[0, 16]","[2, 16]","[2, 16]"
"[[3 2 3 2]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-1, 15]","[0, 15]"
"[[3 2 2 3]
 [5 0 0 5]]","[-2, 16]","[0, 16]","[1, 16]","[3, 16]"
"[[3 2 1 4]
 [5 0 0 5]]","[0, 17]","[3, 17]","[2, 17]","[5, 17]"
"[[4 1 4 1]
 [5 0 0 5]]","[-3, 15]","[0, 15]","[-1, 15]","[2, 14]"
"[[3 2 2 3]
 [5 0 0 5]]","[-2, 16]","[0, 16]","[0, 16]","[2, 16]"
"[[3 2 2 3]
 [5 0 0 5]]","[-2, 16]","[0, 16]","[3, 16]","[2, 16]"
"[[1 4 1 4]
 [5 0 0 5]]","[-3, 15]","[0, 15]","[1, 15]","[0, 14]"
"[[4 1 2 3]
 [5 0 0 5]]","[0, 17]","[3, 17]","[3, 17]","[6, 17]"
"[[2 3 2 3]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-3, 15]","[0, 15]"
"[[1 4 0 5]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[3, 16]","[3, 16]"
"[[3 2 1 4]
 [5 0 0 5]]","[0, 17]","[3, 17]","[0, 17]","[5, 17]"
"[[4 1 3 2]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[-1, 16]","[2, 16]"
"[[5 0 2 3]
 [5 0 0 5]]","[2, 18]","[5, 18]","[2, 18]","[7, 18]"
"[[4 1 5 0]
 [5 0 0 5]]","[-4, 14]","[-2, 14]","[-1, 14]","[0, 13]"
"[[2 3 1 4]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[-1, 16]","[3, 16]"
"[[1 4 2 3]
 [5 0 0 5]]","[-5, 14]","[-3, 14]","[-2, 14]","[-1, 13]"
"[[3 2 3 2]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-3, 15]","[1, 15]"
"[[2 3 3 2]
 [5 0 0 5]]","[-4, 14]","[-2, 14]","[-5, 14]","[-1, 13]"
"[[3 2 3 2]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[0, 15]","[-1, 14]"
"[[3 2 3 2]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-1, 15]","[0, 15]"
"[[2 3 2 3]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-3, 15]","[0, 15]"
"[[3 2 2 3]
 [5 0 0 5]]","[-2, 16]","[0, 16]","[2, 16]","[0, 16]"
"[[1 4 2 3]
 [5 0 0 5]]","[-5, 14]","[-3, 14]","[-1, 14]","[-1, 13]"
