"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 14 16]
 [ 6  4 14 16]]","[-18.77156630978333, 40.10489964311666]",0.0,"[-18, 35]",0.01003,"[-13, 32]",8.51806,"[-15, 32]",0.35568,"[-10, 28]",171.65031

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  2  3]
 [14  1  0  5]]","[5.437339352141011, 37.229327314525655]",0.001,"[1, 30]",0.00602,"[3, 30]",0.70895,"[0, 30]",0.05195,"[5, 28]",2.51114

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 3  2  4 21]
 [ 4 26  9  1]]","[-43.53618351489579, 8.602850181562452]",0.001,"[-39, 12]",0.00852,"[-39, 10]",4.76324,"[-36, 5]",0.14584,"[-32, 4]",29.01776

"[[ 2 24  0  4]
 [ 1 26  2  1]]","[[ 5  0  2 23]
 [24  1  1  4]]","[32.82577770756818, 67.97422229243183]",0.0,"[13, 56]",0.00602,"[20, 56]",0.6067,"[26, 56]",0.04999,"[32, 56]",11.23219

"[[ 1  0  9  0]
 [ 0 40  0  0]]","[[ 0  5  5  0]
 [20  0  0 20]]","[30.000000000000004, 30.000000000000004]",0.0,"[16, 40]",0.00802,"[14, 40]",0.85077,"[24, 40]",0.02254,"[19, 38]",0.99348

"[[ 5  5  5  5]
 [20 50  2  8]]","[[ 8  7  3  2]
 [53  7  4 16]]","[23.166589750784027, 83.50007691588266]",0.0,"[22, 75]",0.01402,"[26, 73]",9.20693,"[15, 71]",0.67378,"[29, 68]",324.412

"[[ 1 12  0  1]
 [ 2 55  1  2]]","[[10  0  1  3]
 [38  2  0 20]]","[51.08330465791215, 83.91669534208785]",0.001,"[47, 71]",0.01504,"[51, 71]",0.46207,"[50, 71]",0.15963,"[55, 71]",19.29889

"[[ 2  2 12  4]
 [ 3 61  1  2]]","[[ 0  5 10  5]
 [57  3  1  6]]","[16.639189326808193, 64.85128686366801]",0.0,"[1, 65]",0.00815,"[5, 62]",3.84192,"[4, 63]",0.13988,"[11, 59]",24.30192

"[[ 0 16  0  4]
 [ 3  9  1  7]
 [ 5  5  5  5]]","[[ 5  0  0 15]
 [ 5  5  3  7]
 [ 8  7  2  3]]","[2.29156398105681, 51.04176935227652]",0.00099,"[-3, 43]",0.007,"[5, 43]",186.96685,"[3, 41]",0.06927,"[10, 37]",1327.31414

"[[ 1 13  1  0]
 [ 0 18  0  2]
 [ 0 20  0  5]]","[[ 9  1  1  4]
 [10  0  0 10]
 [ 9  1  0 15]]","[37.81818425742008, 68.18181574257993]",0.001,"[29, 57]",0.01103,"[38, 57]",15.74454,"[34, 57]",0.05966,"[40, 57]",748.73189

"[[ 0 19  1  0]
 [ 3  4  4  4]
 [ 0  2 18  0]]","[[ 4  1  0 15]
 [ 2  3  3  7]
 [ 0  5 13  2]]","[-21.466698515470203, 21.80003184880354]",0.0,"[-21, 24]",0.006,"[-17, 19]",152.88386,"[-17, 25]",0.06116,"[-13, 15]",71.23898

