"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 16 14]
 [ 7  3 16 14]]","[-27.400514303585688, 30.067180970252352]",0.0,"[-26, 27]",0.01596,"[-22, 24]",12.72725,"[-20, 24]",0.43746,"[-19, 20]",150.71624

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 16 14]
 [ 5  5 16 14]]","[-32.565272006689824, 27.231938673356492]",0.0,"[-29, 24]",0.01998,"[-26, 21]",12.33753,"[-28, 22]",0.48501,"[-22, 17]",143.23729

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 3  7 16 14]]","[-34.075375422903456, 23.408708756236784]",0.001,"[-31, 23]",0.01504,"[-28, 18]",13.70459,"[-27, 21]",0.52842,"[-24, 16]",142.61986

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 17 13]
 [ 4  6 12 18]]","[-28.01677301654845, 30.683439683215113]",0.0,"[-26, 28]",0.01354,"[-22, 25]",13.12046,"[-22, 25]",0.51203,"[-19, 21]",132.44953

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 4  6 17 13]]","[-36.32010009541514, 22.986766762081814]",0.0,"[-32, 21]",0.01201,"[-29, 17]",13.91056,"[-28, 18]",0.45794,"[-26, 14]",147.27337

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 16 14]
 [ 3  7 15 15]]","[-38.31200659022998, 19.645339923563313]",0.0,"[-34, 19]",0.02,"[-31, 14]",12.50085,"[-30, 16]",0.49372,"[-28, 12]",181.19214

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 12 18]
 [ 6  4 17 13]]","[-20.01677301654845, 38.68343968321511]",0.0,"[-20, 34]",0.012,"[-14, 31]",12.87073,"[-14, 31]",0.54423,"[-12, 27]",196.30766

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 17 13]
 [ 7  3 15 15]]","[-19.384118383484964, 38.050785050151624]",0.0,"[-19, 33]",0.00918,"[-15, 30]",11.52109,"[-15, 29]",0.4881,"[-12, 27]",269.20462

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 4  6 14 16]]","[-29.438232976449996, 29.438232976449996]",0.004,"[-27, 27]",0.0125,"[-24, 24]",14.63346,"[-23, 22]",0.46788,"[-21, 22]",96.10503

