"[[2 4 5 1]
 [5 1 3 3]]","[-13, 10]","[-12, 9]","[-12, 9]","[-9, 7]",0.00303,0.30996,0.00652,0.00753

"[[3 3 5 1]
 [3 3 2 4]]","[-13, 11]","[-12, 9]","[-12, 9]","[-10, 6]",0.00319,0.37291,0.00634,0.00501

"[[3 3 4 2]
 [4 2 2 4]]","[-11, 13]","[-9, 12]","[-9, 12]","[-7, 10]",0.00201,0.37507,0.00651,0.00501

"[[3 3 6 0]
 [3 3 2 4]]","[-14, 9]","[-13, 7]","[-14, 7]","[-11, 5]",0.00202,0.37137,0.00753,0.00702

"[[1 5 2 4]
 [4 2 3 3]]","[-12, 12]","[-11, 11]","[-10, 10]","[-8, 8]",0.00351,0.30861,0.00735,0.00554

"[[1 5 2 4]
 [5 1 1 5]]","[-7, 15]","[-5, 14]","[-6, 14]","[-4, 13]",0.00301,0.35509,0.00702,0.00554

"[[0 6 2 4]
 [2 4 1 5]]","[-11, 8]","[-10, 7]","[-11, 8]","[-9, 6]",0.00401,0.20707,0.00688,0.00702

"[[2 4 4 2]
 [5 1 3 3]]","[-12, 12]","[-11, 11]","[-10, 10]","[-8, 8]",0.00241,0.30505,0.00551,0.00602

"[[2 4 5 1]
 [2 4 0 6]]","[-12, 10]","[-12, 9]","[-12, 9]","[-10, 7]",0.00351,0.29356,0.00652,0.00602

"[[2 4 5 1]
 [5 1 1 5]]","[-11, 13]","[-9, 12]","[-9, 12]","[-6, 10]",0.00251,0.36751,0.00552,0.00652

"[[2 4 3 3]
 [4 2 3 3]]","[-12, 12]","[-10, 10]","[-10, 11]","[-8, 8]",0.00319,0.44546,0.00752,0.00554

"[[2 4 3 3]
 [3 3 1 5]]","[-10, 13]","[-9, 12]","[-9, 11]","[-7, 11]",0.00301,0.32122,0.00654,0.00501

"[[1 5 4 2]
 [5 1 2 4]]","[-12, 12]","[-10, 10]","[-11, 10]","[-8, 8]",0.0025,0.44626,0.00755,0.00552

"[[3 3 2 4]
 [6 0 3 3]]","[-6, 16]","[-4, 16]","[-4, 16]","[-2, 15]",0.00301,0.27759,0.00652,0.00602

"[[1 5 3 3]
 [6 0 4 2]]","[-11, 12]","[-11, 11]","[-9, 10]","[-8, 9]",0.00301,0.29974,0.00753,0.00552

"[[2 4 3 3]
 [5 1 4 2]]","[-12, 12]","[-11, 11]","[-10, 10]","[-9, 9]",0.00201,0.31345,0.00759,0.00554

