"[[1 3 3 1]
 [0 4 0 4]
 [3 1 0 4]]","[-10, 13]","[-8, 11]","[-10, 12]","[-6, 9]",0.0068,4.15491,0.00544,0.02138
"[[0 4 2 2]
 [0 4 0 4]
 [2 2 0 4]]","[-10, 10]","[-8, 8]","[-10, 11]","[-8, 8]",0.00426,2.3968,0.00681,0.01312
"[[0 4 2 2]
 [1 3 1 3]
 [2 2 1 3]]","[-13, 10]","[-11, 8]","[-13, 10]","[-11, 7]",0.00372,5.09239,0.01138,0.01604
"[[0 4 1 3]
 [1 3 0 4]
 [1 3 0 4]]","[-9, 12]","[-6, 9]","[-9, 12]","[-6, 9]",0.00503,1.68058,0.00681,0.01505
"[[0 4 1 3]
 [0 4 1 3]
 [1 3 0 4]]","[-12, 9]","[-9, 6]","[-12, 9]","[-8, 6]",0.00351,1.7046,0.00643,0.03106
"[[2 2 2 2]
 [1 3 0 4]
 [3 1 0 4]]","[-6, 16]","[-3, 15]","[-6, 16]","[-2, 14]",0.00355,4.3281,0.00704,0.02161
"[[0 4 2 2]
 [0 4 0 4]
 [3 1 0 4]]","[-9, 12]","[-7, 10]","[-10, 12]","[-7, 9]",0.00453,3.09523,0.00653,0.02208
"[[0 4 2 2]
 [0 4 0 4]
 [3 1 0 4]]","[-9, 12]","[-7, 10]","[-10, 12]","[-6, 9]",0.00453,3.3698,0.00627,0.02179
"[[0 4 1 3]
 [1 3 0 4]
 [1 3 1 3]]","[-11, 11]","[-8, 8]","[-10, 11]","[-7, 8]",0.00401,2.37138,0.00752,0.01708
"[[0 4 2 2]
 [0 4 0 4]
 [2 2 0 4]]","[-10, 10]","[-8, 8]","[-11, 11]","[-8, 7]",0.00401,2.35105,0.00653,0.02814
"[[0 4 2 2]
 [1 3 0 4]
 [2 2 1 3]]","[-11, 11]","[-9, 9]","[-11, 11]","[-8, 8]",0.00401,4.20217,0.00653,0.01253
"[[0 4 2 2]
 [0 4 0 4]
 [3 1 0 4]]","[-9, 12]","[-7, 10]","[-10, 12]","[-6, 9]",0.00454,3.08912,0.00551,0.01807
"[[0 4 2 2]
 [2 2 1 3]
 [1 3 0 4]]","[-11, 11]","[-9, 9]","[-11, 12]","[-8, 8]",0.00401,4.42711,0.00604,0.01255
"[[0 4 2 2]
 [0 4 1 3]
 [3 1 1 3]]","[-13, 10]","[-11, 8]","[-12, 10]","[-10, 7]",0.00301,5.8499,0.00658,0.0191
"[[0 4 3 1]
 [0 4 0 4]
 [2 2 1 3]]","[-14, 8]","[-12, 6]","[-13, 9]","[-11, 5]",0.00401,4.14486,0.0066,0.03161
"[[0 4 3 1]
 [2 2 1 3]
 [2 2 1 3]]","[-13, 11]","[-12, 9]","[-13, 10]","[-10, 7]",0.00401,6.28925,0.00552,0.0248
"[[0 4 2 2]
 [0 4 0 4]
 [1 3 0 4]]","[-11, 9]","[-9, 6]","[-11, 9]","[-10, 6]",0.00454,1.90454,0.00753,0.01704
