"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 16 14]
 [ 5  5 16 14]]","[-25, 20]",45,"[-30, 25]",55,"[-27, 20]",47,"[-31, 25]",56,"[-28, 20]",48,"[-31, 25]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 17 13]
 [ 3  7 14 16]]","[-30, 14]",44,"[-34, 24]",58,"[-29, 19]",48,"[-32, 17]",49,"[-30, 19]",49,"[-32, 17]",49

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 13 17]
 [ 6  4 12 18]]","[-13, 36]",49,"[-18, 38]",56,"[-11, 35]",46,"[-16, 39]",55,"[-11, 35]",46,"[-16, 39]",55

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 4  6 14 16]]","[-25, 21]",46,"[-30, 28]",58,"[-24, 22]",46,"[-29, 25]",54,"[-24, 22]",46,"[-29, 25]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 14 16]
 [ 3  7 17 13]]","[-32, 18]",50,"[-36, 26]",62,"[-31, 18]",49,"[-34, 21]",55,"[-31, 19]",50,"[-34, 21]",55

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 1  9 17 13]]","[-35, 9]",44,"[-42, 25]",67,"[-38, 18]",56,"[-36, 14]",50,"[-39, 19]",58,"[-36, 14]",50

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 5  5 16 14]]","[-22, 23]",45,"[-29, 29]",58,"[-22, 24]",46,"[-26, 27]",53,"[-23, 25]",48,"[-26, 27]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 7  3 15 15]
 [ 4  6 14 16]]","[-18, 27]",45,"[-28, 35]",63,"[-22, 28]",50,"[-22, 30]",52,"[-22, 29]",51,"[-22, 30]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 17 13]
 [ 5  5 13 17]]","[-24, 25]",49,"[-28, 29]",57,"[-23, 25]",48,"[-27, 29]",56,"[-22, 25]",47,"[-27, 29]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 16 14]
 [ 7  3 15 15]]","[-18, 28]",46,"[-26, 34]",60,"[-20, 28]",48,"[-23, 31]",54,"[-21, 29]",50,"[-23, 31]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 5  5 14 16]]","[-21, 27]",48,"[-27, 31]",58,"[-20, 27]",47,"[-26, 30]",56,"[-20, 27]",47,"[-26, 30]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 5  5 14 16]]","[-19, 25]",44,"[-26, 31]",57,"[-20, 25]",45,"[-23, 29]",52,"[-20, 25]",45,"[-23, 29]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 15 15]
 [ 6  4 13 17]]","[-25, 23]",48,"[-31, 32]",63,"[-25, 25]",50,"[-27, 28]",55,"[-26, 26]",52,"[-27, 28]",55

"[[10 10 10 10]
 [10 10 10 10]]","[[ 8  2 15 15]
 [ 7  3 15 15]]","[-5, 37]",42,"[-17, 40]",57,"[-9, 36]",45,"[-10, 39]",49,"[-11, 36]",47,"[-10, 39]",49

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 5  5 15 15]]","[-23, 23]",46,"[-28, 28]",56,"[-22, 22]",44,"[-29, 26]",55,"[-23, 22]",45,"[-29, 26]",55

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 15 15]
 [ 4  6 15 15]]","[-28, 15]",43,"[-32, 23]",55,"[-27, 17]",44,"[-32, 18]",50,"[-28, 17]",45,"[-32, 18]",50

"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 17 13]
 [ 3  7 16 14]]","[-38, 7]",45,"[-40, 15]",55,"[-37, 7]",44,"[-40, 11]",51,"[-37, 8]",45,"[-40, 11]",51

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 13 17]
 [ 6  4 16 14]]","[-18, 28]",46,"[-25, 32]",57,"[-20, 28]",48,"[-22, 31]",53,"[-20, 27]",47,"[-22, 31]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 16 14]
 [ 3  7 16 14]]","[-28, 17]",45,"[-36, 26]",62,"[-30, 21]",51,"[-33, 21]",54,"[-31, 21]",52,"[-33, 21]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 6  4 15 15]]","[-18, 31]",49,"[-24, 33]",57,"[-17, 30]",47,"[-22, 34]",56,"[-18, 30]",48,"[-22, 34]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 14 16]
 [ 7  3 16 14]]","[-14, 32]",46,"[-23, 35]",58,"[-15, 32]",47,"[-20, 37]",57,"[-15, 32]",47,"[-20, 37]",57

"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 15 15]
 [ 5  5 15 15]]","[-29, 16]",45,"[-35, 26]",61,"[-29, 19]",48,"[-33, 22]",55,"[-29, 20]",49,"[-33, 22]",55

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 17 13]
 [ 3  7 15 15]]","[-32, 16]",48,"[-36, 24]",60,"[-32, 18]",50,"[-34, 21]",55,"[-31, 18]",49,"[-34, 21]",55

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 17 13]
 [ 4  6 14 16]]","[-28, 17]",45,"[-32, 24]",56,"[-26, 20]",46,"[-30, 22]",52,"[-26, 20]",46,"[-30, 22]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 14 16]
 [ 5  5 15 15]]","[-17, 27]",44,"[-26, 32]",58,"[-19, 26]",45,"[-22, 30]",52,"[-20, 26]",46,"[-22, 30]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 6  4 15 15]]","[-20, 26]",46,"[-26, 32]",58,"[-21, 26]",47,"[-25, 28]",53,"[-21, 26]",47,"[-25, 28]",53

