"[[0 6 3 3]
 [3 3 5 1]]","[-17, 2]",19,"[-16, 3]",19,"[-17, 2]",19,"[-17, 4]",21,"[-16, 2]",18,"[-17, 4]",21
"[[3 3 2 4]
 [3 3 2 4]]","[-8, 13]",21,"[-7, 13]",20,"[-8, 13]",21,"[-9, 14]",23,"[-7, 13]",20,"[-9, 14]",23
"[[3 3 3 3]
 [3 3 3 3]]","[-10, 10]",20,"[-10, 10]",20,"[-10, 10]",20,"[-11, 11]",22,"[-10, 10]",20,"[-11, 11]",22
"[[2 4 2 4]
 [3 3 4 2]]","[-11, 9]",20,"[-11, 8]",19,"[-11, 9]",20,"[-13, 10]",23,"[-11, 8]",19,"[-13, 10]",23
"[[3 3 3 3]
 [3 3 2 4]]","[-9, 12]",21,"[-9, 11]",20,"[-9, 11]",20,"[-10, 12]",22,"[-9, 11]",20,"[-10, 12]",22
"[[3 3 3 3]
 [2 4 2 4]]","[-11, 11]",22,"[-10, 10]",20,"[-10, 10]",20,"[-11, 11]",22,"[-10, 10]",20,"[-11, 11]",22
"[[2 4 4 2]
 [3 3 4 2]]","[-15, 6]",21,"[-14, 6]",20,"[-15, 6]",21,"[-15, 8]",23,"[-14, 6]",20,"[-15, 8]",23
"[[5 1 3 3]
 [2 4 3 3]]","[-9, 12]",21,"[-9, 12]",21,"[-9, 12]",21,"[-10, 13]",23,"[-8, 12]",20,"[-10, 13]",23
"[[3 3 4 2]
 [3 3 2 4]]","[-11, 11]",22,"[-11, 11]",22,"[-11, 11]",22,"[-11, 12]",23,"[-10, 11]",21,"[-11, 12]",23
"[[6 0 5 1]
 [3 3 3 3]]","[-8, 12]",20,"[-9, 11]",20,"[-8, 11]",19,"[-9, 12]",21,"[-7, 11]",18,"[-9, 12]",21
"[[3 3 0 6]
 [5 1 6 0]]","[-7, 12]",19,"[-8, 13]",21,"[-7, 12]",19,"[-8, 12]",20,"[-7, 12]",19,"[-8, 12]",20
"[[3 3 5 1]
 [1 5 3 3]]","[-16, 4]",20,"[-15, 4]",19,"[-16, 4]",20,"[-16, 6]",22,"[-16, 4]",20,"[-16, 6]",22
